,mAP@5,mAP@10,mAP@15,views,037_scissors@5,037_scissors@10,037_scissors@15,018_plum@5,018_plum@10,018_plum@15,065-e_cups@5,065-e_cups@10,065-e_cups@15,017_orange@5,017_orange@10,017_orange@15,008_pudding_box@5,008_pudding_box@10,008_pudding_box@15,005_tomato_soup_can@5,005_tomato_soup_can@10,005_tomato_soup_can@15,010_potted_meat_can@5,010_potted_meat_can@10,010_potted_meat_can@15
GDN_edgeconv_1_view,0.6987733763973426,0.862151711288804,0.9076836835806449,1,0.4909238268377959,0.8479425461116759,0.9085593615296877,0.3692145245443857,0.5417858761302876,0.7531948249979004,0.953794031211233,0.9899830485479084,0.9919573926300765,0.6282864403348358,0.9858035724818852,0.9954136088970458,0.8124888485095237,0.8740463147819514,0.8933799168039018,0.6930319702822291,0.7994096911494686,0.8805044356092493,0.6500032405195448,0.7579514589342489,0.8236191992435523
GDN_pointnet2_1_view,0.5465787326561554,0.7088154871857775,0.7358609324236517,1,0.2271436157933343,0.6066780541809864,0.6281012871304332,0.557016749601075,0.7690178483945017,0.969145031983987,0.8288718790826454,0.9196900296095832,0.9300945890769264,0.6061441072155358,0.9357533857715018,0.9744969874175362,0.7034077377148747,0.7977773996966833,0.8160024736545183,0.4810034247967737,0.563996934909849,0.5847118352326685,0.37794819550513126,0.46311443526376245,0.4821806682074539
GDN_edgeconv_asymmetric_roll_1_view,0.26152813294258576,0.42939767656575306,0.5930642204607639,1,0.0007037297677691766,0.06491711627179607,0.13726004769723982,0.8143774145460654,0.987655491080177,0.9968641520394167,0.019727736689589548,0.05938216340123697,0.39060967302452315,0.5284354678945776,0.9031118240991429,0.9934183141545978,0.14144868427779056,0.2285175280525522,0.4531081415389559,0.11161510590858417,0.35205863207416,0.5467517615091373,0.3980385787722744,0.455689907822413,0.5662755749828731
GDN_pointnet2_asymmetric_roll_1_view,0.19944756445788192,0.3720669323219866,0.5160228451972081,1,0.007496676831652201,0.050164203612479474,0.06795292829775589,0.8668449450253353,0.9761915194318469,0.9899176954732509,0.1214694794054467,0.20039053602064502,0.4713886983797454,0.5324421204131349,0.9501319209555493,0.9961363532468606,0.08983853807223373,0.3244649429820238,0.43918326800213736,0.13142054201836811,0.19773131558457643,0.32061365897157823,0.043024366937410415,0.14318997628780236,0.4069541099141255
PointnetGPD_1_view,0.16079217167698787,0.24152916014683976,0.2627298640118816,1,0.319290080016681,0.41913753541920323,0.4394957534190468,0.128892471340388,0.14262244635508525,0.1426610266019988,0.006403269754768392,0.051182907313697505,0.10585524703372114,0.16165404270217937,0.21646985816499276,0.22314389118089945,0.3469723494157012,0.5330003941324248,0.5573070055764299,0.12109181493110065,0.15331022152450724,0.16137208353240962,0.11552336049618658,0.22145416853103186,0.2504621266318989
GPD_1_view,0.1437184019904258,0.22953162187877096,0.25442939309251966,1,0.2902923690001452,0.3914575816643022,0.40761959682614146,0.06199018959435627,0.07659281305114639,0.0757826278659612,0.003855802084684918,0.05157378573591107,0.11042720903075125,0.18138139034878165,0.24187880351570823,0.25276667111165035,0.3214613355406575,0.5127353851497657,0.5436755746984784,0.0810936698164959,0.10844315708446145,0.12683928792624444,0.09154622551361681,0.2148695476270528,0.24131740101590002
GDN_edgeconv_no_bin_1_view,0.1400482548965005,0.32562432138547426,0.47329657874845843,1,0.0,0.0,0.0,0.0023148148148148147,0.38587411816578476,0.657105930335097,0.0,0.14766770468405346,0.33338525222380805,0.010049370918936136,0.10842524021871847,0.23099906434145565,0.20994459780691666,0.6226963427614737,0.7376871573687624,0.06173355629877369,0.1827739289695811,0.4198447868556564,0.4500461635787723,0.6925065932169969,0.810408242000504
GDN_pointnet2_regression_1_view,0.11871529054116774,0.31860244360902257,0.47243348505744076,1,0.0,0.0,0.008100711548987411,0.2587466931216931,0.5090547839506172,0.6738762125220459,0.02553360581289737,0.18629429595029046,0.3405260240638793,0.052933720868503474,0.21545790863725645,0.5633652342548564,0.34179084234337853,0.669510446220893,0.752345025167877,0.017913547804852152,0.1356404062925802,0.23275693006671266,0.2114881394772699,0.5281954785351525,0.6417173163084134
GDN_pointnet2_no_bin_1_view,0.03253211733036294,0.1844612105660978,0.347186849840651,1,0.0,0.0,0.0005473453749315818,0.00914351851851852,0.08775628306878308,0.29774121840094064,0.09334966048181306,0.2926310496950824,0.4263457694612814,0.03759168568951178,0.3331703656936576,0.6689003568416094,0.03268058431101909,0.20298764473583314,0.342102321067987,0.00811965811965812,0.06000736582258321,0.18115082841014518,0.028317274512926684,0.15525624435950522,0.27007387310182346
GDN_edgeconv_regression_1_view,0.029158799777220825,0.14857003852223152,0.2948932258998466,1,0.0,0.0,0.0,0.018518518518518517,0.35117669753086417,0.5440393518518518,0.0,0.0,0.1976195882531032,0.0,0.014492753623188404,0.2030637176832829,0.03689996932750556,0.23975233558264958,0.4791102382534692,0.0,0.0011148272017837235,0.1316892950045124,0.11119173700695438,0.4841957981631895,0.5521982129901385
