,mAP@5,mAP@10,mAP@15,std,037_scissors@5,037_scissors@10,037_scissors@15,018_plum@5,018_plum@10,018_plum@15,065-e_cups@5,065-e_cups@10,065-e_cups@15,017_orange@5,017_orange@10,017_orange@15,008_pudding_box@5,008_pudding_box@10,008_pudding_box@15,005_tomato_soup_can@5,005_tomato_soup_can@10,005_tomato_soup_can@15,010_potted_meat_can@5,010_potted_meat_can@10,010_potted_meat_can@15
GDN_edgeconv_noise_0.1,0.830460129886924,0.95718158790476,0.9683497798085337,0.1,0.6022283871882086,0.8249220797115143,0.8539031124023684,0.3121910430839003,0.5355508314436884,0.6992794604614333,0.911314819560498,0.9762699879545933,0.9855032645985843,0.6885498273383429,0.9928467683369645,0.997596075467224,0.948897246342078,0.9898683163418937,0.9904460118509915,0.939102883216779,0.9906423283599155,0.9912451620859984,0.870204998666133,0.9478829441829641,0.9605842006114614
GDN_pointnet2_noise_0.1,0.8040296604671184,0.931686074753812,0.95616278560567,0.1,0.5724937405517763,0.7374718718505922,0.7787792619362559,0.5062427113702623,0.8999127164093149,0.9559702088507361,0.9780962454743438,0.9969395520765383,0.9993362083544732,0.7346675416198224,0.9691250309647668,0.9998028841166097,0.9357296006704398,0.9969854309158172,0.9983759329160752,0.8218850225275297,0.9187019185981271,0.9369611733582323,0.7708658145798003,0.8912257627918893,0.9357990815373768
PointnetGPD_0.1,0.4489535719404893,0.5482195050510716,0.5627121053892045,0.1,0.6164335711136306,0.7247027037666919,0.7615763259007308,0.023214285714285715,0.023214285714285715,0.023214285714285715,0.33302756033920417,0.48763100458346703,0.5095237124530178,0.22019113200835888,0.2825757485533896,0.29270841140689086,0.7071611890013458,0.9176885727190605,0.929693076756448,0.5360270377992468,0.5910329846224205,0.6071450484955887,0.4776234223848269,0.5560686232164823,0.5646586015358523
GPD_0.1,0.3934584822346685,0.4978802306323655,0.5201737190590148,0.1,0.42416994992441415,0.5063430886243386,0.5109074074074075,0.0,0.0,0.0,0.24099124809741246,0.41040816326530616,0.4311372619824186,0.28599806589302396,0.3652461619568463,0.3851662688885079,0.724754570866287,0.914288306786129,0.9354893526968151,0.41457672751640334,0.45366629191359087,0.4836551763562569,0.38100896310905313,0.4971804025843141,0.5244464677405354
GDN_edgeconv_noise_0.5,0.7948876679647126,0.9531382467101486,0.9659648130453595,0.5,0.5894392361111112,0.8237643337427564,0.8483822239543966,0.2836262282690854,0.6212707073570168,0.801521670176007,0.8559847918111944,0.9644933379237033,0.9772730743743463,0.6006882647238789,0.9914128151260505,0.9962592444385162,0.9397410399344923,0.9906202374807194,0.9920777412139201,0.921899001664158,0.985649200156253,0.9868833379912813,0.8539877617713753,0.9320893397041358,0.9486908850841924
GDN_pointnet2_noise_0.5,0.7682632904457425,0.913835195935461,0.9459964943640065,0.5,0.54798934712774,0.7120020313681028,0.7552736363063743,0.4509212018140589,0.8406319736889465,0.941514314058957,0.9393090004900997,0.9852070584702679,0.9918291523864745,0.7025355102358403,0.9449293606331423,0.9982003912676182,0.9008919449667853,0.992922675506517,0.9966167677549791,0.7683269180688148,0.8987338731789011,0.9251410259871143,0.748985094037615,0.8760175842823903,0.9162868758614557
PointnetGPD_0.5,0.5040975371630133,0.6176059066310727,0.6322474202676752,0.5,0.6029656990110859,0.7155567838246408,0.7345561145754598,0.03888888888888888,0.04399092970521542,0.04399092970521542,0.6179317212679085,0.7484371041668822,0.7647953877136852,0.31239926923150213,0.4133884347389749,0.42800108138493487,0.7532447351117503,0.9481007226738933,0.9520468366886051,0.49784896498281855,0.5924560895786886,0.6103248481932455,0.4820294943374175,0.5735389287990328,0.5915565776575179
GPD_0.5,0.4304643028524065,0.5334765996766458,0.5498243631963976,0.5,0.4735401785714286,0.573255964191232,0.5889497669438144,0.0,0.0,0.0,0.48885051572633115,0.6339731290791303,0.6460926590321567,0.28877187382889663,0.37151250976581107,0.3797606582315466,0.7741363056062532,0.9417785570641989,0.9497717351394035,0.3272383397803566,0.3984481094024911,0.42821357114274283,0.43891351381822574,0.5368598576996937,0.5583833546646174
GDN_edgeconv_noise_1.0,0.700158636399855,0.883360539265438,0.9153385836077659,1.0,0.5437433862433861,0.8095621141975308,0.8169893038233813,0.36535808767951616,0.4870834008206457,0.7077130124536586,0.7995364330409992,0.8879634742024662,0.9154278082364351,0.5329703627482739,0.8896755752565576,0.9508954587125856,0.8516326684241899,0.9573473190089045,0.9678650605454467,0.7947259207915972,0.9122821734513912,0.9260563405256282,0.6994045660592279,0.8657447661604325,0.8902996211712197
GDN_pointnet2_noise_1.0,0.6430484101276945,0.843276457029612,0.8937002168194853,1.0,0.4694359410430839,0.6780424658289241,0.7133224639392793,0.37400439342403624,0.66355859473419,0.8531823079761006,0.8112601751761079,0.9005218137483304,0.9225048600109754,0.529786912119345,0.8372733273203464,0.9174085771874889,0.8092865650099245,0.9508812849891537,0.9581419818379022,0.6288036947583265,0.8231777036211311,0.8799967142941832,0.6428246020630474,0.8367976912987416,0.8870180241408732
